三遶鹊	sān rǎo què
三邻四舍	sān lín sì shè
三郄	sān xì
三部曲	sān bù qǔ
三重	sān chóng
三重唱	sān chóng chàng
三重地	sān chóng de
三重门	sān chóng mén
三锥子扎不出血来	sān zhuī zǐ zhā bù chū xuè lái
三长	sān cháng
三长两短	sān cháng liǎng duǎn
三长四短	sān cháng sì duǎn
三长斋月	sān cháng zhāi yuè
三长月	sān cháng yuè
三闇	sān ān
三闾大夫	sān lǘ dài fū
三阳交泰	sān yáng jiāo tai
三青子	sān qīng zǐ
三面罗	sān miàn luó
三鹿为奔	sān lù wéi bēn
三鹿为犇	sān lù wéi bēn
上下打量	shàng xià dǎ liang
上不着天	shàng bù zháo tiān
上之所好	shàng zhī suǒ hào
上供	shàng gòng
上偻	shàng lǚ
上元甲子	shàng yuán jiǎ zǐ
上分	shàng fèn
上切	shàng qiē
上卷	shàng juàn
上吐下泻	shàng tù xià xiè
上地	shàng dì
上声	shǎng shēng
上大夫	shàng dài fū
上天入地	shàng tiān rù dì
上头	shàng tou
上好下甚	shàng hǎo xià shèn
上嫚下暴	shàng màn xià bào
上将	shàng jiàng
上将军	shàng jiàng jūn
上尖儿	shàng jiān er
上帝地	shàng de de
上座儿	shàng zuò er
上当	shàng dàng
上当受骗	shàng dàng shòu piàn
上当学乖	shàng dàng xué guāi
上愬	shàng shuò
上清童子	shàng qīng tóng zǐ
上澣	shàng hàn
上相	shàng xiàng
上羾	shàng hóng
上舍	shàng shè
上荨	shàng qián
上阳白发人	shàng yáng bái fà rén
上馆子	shàng guǎn zǐ
上齐	shàng jì
下不为例	xià bù wéi lì
下不了台	xià bù liǎo tái
下不着地	xià bù zháo dì
下乘	xià shèng
下关子	xià guān zǐ
下切	xià qiē
下卷	xià juàn
下参差	xià cēn cī
下句丽	xià jù lí
下嗑子	xià kè zǐ
下地	xià dì
下地幔	xià dì màn
下处	xià chǔ
下大夫	xià dài fū
下头	xià tou
下子	xià zǐ
下帖	xià tiě
下得	xià de
下得去	xià děi qù
下无插针之地	xià wú chā zhēn zhī dì
下无立锥之地	xià wú lì zhuī zhī dì
下死劲	xià sǐ jìng
下潠田	xià sùn tián
下澣	xià hàn
下自成行	xià zì chéng háng
下自成蹊	xià zì chéng xī
下舍	xià shè
下裳	xià cháng
下调	xià tiáo
下都	xià dū
下钓子	xià diào zǐ
下钥	xià yuè
下餔	xià bū
不一会儿	bù yī huì er
不一定	bù yí dìng
不一样	bù yí yàng
不丁点儿	bù dīng diǎn er
不世	bu shi
不中意	bù zhòng yì
不为	bù wéi
不为五斗米折腰	bù wèi wǔ dǒu mǐ zhé yāo
不为人知	bù wéi rén zhī
不为名不为利	bù wéi míng bù wéi lì
不为已甚	bù wéi yǐ shèn
不为牛后	bù wéi niú hòu
不为瓦全	bù wéi wǎ quán
不义	bú yì
不义地	bú yì de
不习地土	bù xí dì tǔ
不了	bù liǎo
不了不当	bù liǎo bù dàng
不了了之	bù liǎo liǎo zhī
不了事	bù liǎo shì
不了格	bù liǎo gé
不了缘	bù liǎo yuán
不了而了	bù liǎo ér liǎo
不亦善夫	bù yi shàn fū
不亦说乎	bù yì yuè hū
不以为奇	bù yǐ wéi qí
不以为意	bù yǐ wéi yì
不以为然	bù yǐ wéi rán
不以为耻	bù yǐ wéi chǐ
不以语人	bù yǐ yù rén
不价	bù jie
不会	bú huì
不会又悄悄地	bú huì yòu qiāo qiāo de
不会得	bú huì de
不会眼睁睁地	bú huì yǎn zhēng zhēng de
不会那样地	bú huì nà yàng de
不住	bú zhù
不住地	bú zhù de
不住地后退	bú zhù de hòu tuì
不住地呕吐	bú zhù de ǒu tù
不住地咳嗽	bú zhù de ké sòu
不住地淌	bú zhù de tǎng
不住地磕头	bú zhù de kē tóu
不住地说	bú zhù de shuō
不住地跳	bú zhù de tiào
不住地颤抖	bú zhù de chàn dǒu
不住子	bú zhù zǐ
不住气	bú zhù qì
不作兴	bù zuò xīng
